 time            v(voutp)        v(voutn)       
 1.76560000e-10  1.14552685e+00  1.23326141e+00 
 1.78560000e-10  1.14338361e+00  1.23533830e+00 
 1.80560000e-10  1.14123569e+00  1.23741923e+00 
 1.82560000e-10  1.13908371e+00  1.23950364e+00 
 1.84560000e-10  1.13692832e+00  1.24159092e+00 
 1.86560000e-10  1.13477018e+00  1.24368046e+00 
 1.88560000e-10  1.13260999e+00  1.24577160e+00 
 1.90560000e-10  1.13044847e+00  1.24786366e+00 
 1.92560000e-10  1.12828632e+00  1.24995599e+00 
 1.94560000e-10  1.12612417e+00  1.25204793e+00 
 1.96560000e-10  1.12396262e+00  1.25413892e+00 
 1.98280000e-10  1.12210454e+00  1.25593600e+00 
 2.00000000e-10  1.12024755e+00  1.25773169e+00 
 2.00200000e-10  1.12003171e+00  1.25794038e+00 
 2.00600000e-10  1.11960006e+00  1.25835772e+00 
 2.01400000e-10  1.11873701e+00  1.25919211e+00 
 2.03000000e-10  1.11701190e+00  1.26085967e+00 
 2.05000000e-10  1.11485758e+00  1.26294163e+00 
 2.07000000e-10  1.11270585e+00  1.26502054e+00 
 2.09000000e-10  1.11055704e+00  1.26709608e+00 
 2.11000000e-10  1.10841153e+00  1.26916791e+00 
 2.13000000e-10  1.10626973e+00  1.27123565e+00 
 2.15000000e-10  1.10413208e+00  1.27329890e+00 
 2.17000000e-10  1.10199905e+00  1.27535722e+00 
 2.19000000e-10  1.09987110e+00  1.27741017e+00 
 2.21000000e-10  1.09774869e+00  1.27945733e+00 
 2.23000000e-10  1.09563224e+00  1.28149826e+00 
 2.25000000e-10  1.09352218e+00  1.28353256e+00 
 2.27000000e-10  1.09141889e+00  1.28555985e+00 
 2.29000000e-10  1.08932274e+00  1.28757977e+00 
 2.31000000e-10  1.08723411e+00  1.28959200e+00 
 2.33000000e-10  1.08515342e+00  1.29159624e+00 
 2.35000000e-10  1.08308115e+00  1.29359217e+00 
 2.37000000e-10  1.08101797e+00  1.29557945e+00 
 2.39000000e-10  1.07896480e+00  1.29755769e+00 
 2.41000000e-10  1.07692299e+00  1.29952629e+00 
 2.43000000e-10  1.07489451e+00  1.30148442e+00 
 2.45000000e-10  1.07288214e+00  1.30343077e+00 
 2.47000000e-10  1.07088971e+00  1.30536346e+00 
 2.49000000e-10  1.06892223e+00  1.30727976e+00 
 2.51000000e-10  1.06698603e+00  1.30917597e+00 
 2.53000000e-10  1.06508865e+00  1.31104730e+00 
 2.55000000e-10  1.06323866e+00  1.31288783e+00 
 2.57000000e-10  1.06144523e+00  1.31469062e+00 
 2.59000000e-10  1.05971754e+00  1.31644802e+00 
 2.61000000e-10  1.05806406e+00  1.31815205e+00 
 2.63000000e-10  1.05649180e+00  1.31979500e+00 
 2.65000000e-10  1.05500558e+00  1.32137005e+00 
 2.67000000e-10  1.05360756e+00  1.32287187e+00 
 2.69000000e-10  1.05229695e+00  1.32429717e+00 
 2.71000000e-10  1.05107010e+00  1.32564501e+00 
 2.73000000e-10  1.04992096e+00  1.32691686e+00 
 2.75000000e-10  1.04884177e+00  1.32811640e+00 
 2.77000000e-10  1.04782398e+00  1.32924903e+00 
 2.79000000e-10  1.04685919e+00  1.33032117e+00 
 2.81000000e-10  1.04594000e+00  1.33133954e+00 
 2.83000000e-10  1.04506058e+00  1.33231041e+00 
 2.85000000e-10  1.04421695e+00  1.33323904e+00 
 2.87000000e-10  1.04340690e+00  1.33412938e+00 
 2.89000000e-10  1.04262963e+00  1.33498395e+00 
 2.91000000e-10  1.04188518e+00  1.33580415e+00 
 2.93000000e-10  1.04117383e+00  1.33659053e+00 
 2.95000000e-10  1.04049552e+00  1.33734332e+00 
 2.97000000e-10  1.03984954e+00  1.33806286e+00 
 2.99000000e-10  1.03923439e+00  1.33874991e+00 
 3.01000000e-10  1.03864790e+00  1.33940579e+00 
 3.03000000e-10  1.03808749e+00  1.34003239e+00 
 3.05000000e-10  1.03755056e+00  1.34063191e+00 
 3.07000000e-10  1.03703483e+00  1.34120669e+00 
 3.09000000e-10  1.03653856e+00  1.34175882e+00 
 3.11000000e-10  1.03606062e+00  1.34229005e+00 
 3.13000000e-10  1.03560047e+00  1.34280161e+00 
 3.15000000e-10  1.03515792e+00  1.34329427e+00 
 3.17000000e-10  1.03473292e+00  1.34376843e+00 
 3.19000000e-10  1.03432532e+00  1.34422438e+00 
 3.21000000e-10  1.03393472e+00  1.34466238e+00 
 3.23000000e-10  1.03356043e+00  1.34508287e+00 
 3.25000000e-10  1.03320149e+00  1.34548653e+00 
 3.27000000e-10  1.03285684e+00  1.34587419e+00 
 3.29000000e-10  1.03252544e+00  1.34624684e+00 
 3.31000000e-10  1.03220643e+00  1.34660544e+00 
 3.33000000e-10  1.03189917e+00  1.34695084e+00 
 3.35000000e-10  1.03160329e+00  1.34728371e+00 
 3.37000000e-10  1.03131862e+00  1.34760451e+00 
 3.39000000e-10  1.03104507e+00  1.34791353e+00 
 3.41000000e-10  1.03078255e+00  1.34821094e+00 
 3.43000000e-10  1.03053089e+00  1.34849692e+00 
 3.45000000e-10  1.03028979e+00  1.34877168e+00 
 3.47000000e-10  1.03005884e+00  1.34903553e+00 
 3.49000000e-10  1.02983757e+00  1.34928886e+00 
 3.51000000e-10  1.02962552e+00  1.34953213e+00 
 3.53000000e-10  1.02942231e+00  1.34976577e+00 
 3.55000000e-10  1.02922769e+00  1.34999019e+00 
 3.57000000e-10  1.02904149e+00  1.35020568e+00 
 3.59000000e-10  1.02886370e+00  1.35041244e+00 
 3.61000000e-10  1.02869430e+00  1.35061057e+00 
 3.63000000e-10  1.02853331e+00  1.35080012e+00 
 3.65000000e-10  1.02838066e+00  1.35098113e+00 
 3.67000000e-10  1.02823624e+00  1.35115366e+00 
 3.69000000e-10  1.02809983e+00  1.35131781e+00 
 3.71000000e-10  1.02797119e+00  1.35147375e+00 
 3.73000000e-10  1.02785000e+00  1.35162168e+00 
 3.75000000e-10  1.02773599e+00  1.35176182e+00 
 3.77000000e-10  1.02762885e+00  1.35189443e+00 
 3.79000000e-10  1.02752833e+00  1.35201973e+00 
 3.81000000e-10  1.02743415e+00  1.35213794e+00 
 3.83000000e-10  1.02734606e+00  1.35224928e+00 
 3.85000000e-10  1.02726376e+00  1.35235400e+00 
 3.87000000e-10  1.02718696e+00  1.35245234e+00 
 3.89000000e-10  1.02711533e+00  1.35254460e+00 
 3.91000000e-10  1.02704856e+00  1.35263108e+00 
 3.93000000e-10  1.02698638e+00  1.35271211e+00 
 3.95000000e-10  1.02692854e+00  1.35278799e+00 
 3.97000000e-10  1.02687490e+00  1.35285898e+00 
 3.98500000e-10  1.02683737e+00  1.35290916e+00 
 4.00000000e-10  1.02680212e+00  1.35295679e+00 
 4.00200000e-10  1.02679762e+00  1.35296292e+00 
 4.00600000e-10  1.02678869e+00  1.35297511e+00 
 4.01400000e-10  1.02677132e+00  1.35299896e+00 
 4.03000000e-10  1.02673855e+00  1.35304456e+00 
 4.05000000e-10  1.02670131e+00  1.35309763e+00 
 4.07000000e-10  1.02666821e+00  1.35314638e+00 
 4.09000000e-10  1.02663925e+00  1.35319080e+00 
 4.11000000e-10  1.02661436e+00  1.35323094e+00 
 4.13000000e-10  1.02659346e+00  1.35326684e+00 
 4.15000000e-10  1.02657641e+00  1.35329858e+00 
 4.17000000e-10  1.02656309e+00  1.35332626e+00 
 4.19000000e-10  1.02655333e+00  1.35335000e+00 
 4.21000000e-10  1.02654702e+00  1.35336994e+00 
 4.23000000e-10  1.02654403e+00  1.35338620e+00 
 4.25000000e-10  1.02654428e+00  1.35339889e+00 
 4.27000000e-10  1.02654771e+00  1.35340815e+00 
 4.29000000e-10  1.02655426e+00  1.35341406e+00 
 4.31000000e-10  1.02656395e+00  1.35341677e+00 
 4.33000000e-10  1.02657682e+00  1.35341637e+00 
 4.35000000e-10  1.02659302e+00  1.35341303e+00 
 4.37000000e-10  1.02661284e+00  1.35340688e+00 
 4.39000000e-10  1.02663685e+00  1.35339806e+00 
 4.41000000e-10  1.02666598e+00  1.35338661e+00 
 4.43000000e-10  1.02670174e+00  1.35337239e+00 
 4.45000000e-10  1.02674640e+00  1.35335497e+00 
 4.47000000e-10  1.02680320e+00  1.35333337e+00 
 4.49000000e-10  1.02687647e+00  1.35330587e+00 
 4.51000000e-10  1.02697177e+00  1.35326979e+00 
 4.53000000e-10  1.02709583e+00  1.35322128e+00 
 4.55000000e-10  1.02725633e+00  1.35315519e+00 
 4.57000000e-10  1.02746158e+00  1.35306508e+00 
 4.59000000e-10  1.02771992e+00  1.35294341e+00 
 4.61000000e-10  1.02803909e+00  1.35278193e+00 
 4.63000000e-10  1.02842553e+00  1.35257217e+00 
 4.65000000e-10  1.02888372e+00  1.35230609e+00 
 4.67000000e-10  1.02941572e+00  1.35197686e+00 
 4.69000000e-10  1.03002094e+00  1.35157939e+00 
 4.71000000e-10  1.03069626e+00  1.35111085e+00 
 4.73000000e-10  1.03143641e+00  1.35057086e+00 
 4.75000000e-10  1.03223468e+00  1.34996139e+00 
 4.77000000e-10  1.03308374e+00  1.34928631e+00 
 4.79000000e-10  1.03397656e+00  1.34855080e+00 
 4.81000000e-10  1.03490716e+00  1.34776052e+00 
 4.83000000e-10  1.03587115e+00  1.34692088e+00 
 4.85000000e-10  1.03686592e+00  1.34603638e+00 
 4.87000000e-10  1.03789059e+00  1.34511027e+00 
 4.89000000e-10  1.03894560e+00  1.34414439e+00 
 4.91000000e-10  1.04003216e+00  1.34313938e+00 
 4.93000000e-10  1.04115160e+00  1.34209509e+00 
 4.95000000e-10  1.04230494e+00  1.34101102e+00 
 4.97000000e-10  1.04349242e+00  1.33988682e+00 
 4.99000000e-10  1.04471352e+00  1.33872262e+00 
 5.01000000e-10  1.04596694e+00  1.33751921e+00 
 5.03000000e-10  1.04725097e+00  1.33627796e+00 
 5.05000000e-10  1.04856381e+00  1.33500066e+00 
 5.07000000e-10  1.04990390e+00  1.33368920e+00 
 5.09000000e-10  1.05127017e+00  1.33234528e+00 
 5.11000000e-10  1.05266212e+00  1.33097019e+00 
 5.13000000e-10  1.05407977e+00  1.32956472e+00 
 5.15000000e-10  1.05552345e+00  1.32812919e+00 
 5.17000000e-10  1.05699362e+00  1.32666359e+00 
 5.19000000e-10  1.05849059e+00  1.32516780e+00 
 5.21000000e-10  1.06001441e+00  1.32364180e+00 
 5.23000000e-10  1.06156478e+00  1.32208578e+00 
 5.25000000e-10  1.06314112e+00  1.32050022e+00 
 5.27000000e-10  1.06474269e+00  1.31888581e+00 
 5.29000000e-10  1.06636873e+00  1.31724340e+00 
 5.31000000e-10  1.06801862e+00  1.31557382e+00 
 5.33000000e-10  1.06969191e+00  1.31387777e+00 
 5.35000000e-10  1.07138841e+00  1.31215575e+00 
 5.37000000e-10  1.07310811e+00  1.31040808e+00 
 5.39000000e-10  1.07485105e+00  1.30863489e+00 
 5.41000000e-10  1.07661728e+00  1.30683626e+00 
 5.43000000e-10  1.07840675e+00  1.30501229e+00 
 5.45000000e-10  1.08021926e+00  1.30316319e+00 
 5.47000000e-10  1.08205447e+00  1.30128928e+00 
 5.49000000e-10  1.08391197e+00  1.29939100e+00 
 5.51000000e-10  1.08579132e+00  1.29746883e+00 
 5.53000000e-10  1.08769214e+00  1.29552328e+00 
 5.55000000e-10  1.08961414e+00  1.29355476e+00 
 5.57000000e-10  1.09155714e+00  1.29156360e+00 
 5.59000000e-10  1.09352104e+00  1.28955000e+00 
 5.61000000e-10  1.09550579e+00  1.28751412e+00 
 5.63000000e-10  1.09751133e+00  1.28545606e+00 
 5.65000000e-10  1.09953754e+00  1.28337597e+00 
 5.67000000e-10  1.10158422e+00  1.28127404e+00 
 5.69000000e-10  1.10365107e+00  1.27915055e+00 
 5.71000000e-10  1.10573773e+00  1.27700585e+00 
 5.73000000e-10  1.10784378e+00  1.27484038e+00 
 5.75000000e-10  1.10996876e+00  1.27265459e+00 
 5.77000000e-10  1.11211224e+00  1.27044895e+00 
 5.79000000e-10  1.11427375e+00  1.26822396e+00 
 5.81000000e-10  1.11645285e+00  1.26598010e+00 
 5.83000000e-10  1.11864905e+00  1.26371788e+00 
 5.85000000e-10  1.12086184e+00  1.26143784e+00 
